,lsoa
1338,E01001360
1339,E01001361
1340,E01001362
1341,E01001363
1342,E01001364
1343,E01001365
1344,E01001366
1345,E01001367
1346,E01001368
1347,E01001369
1348,E01001370
1349,E01001371
1350,E01001372
1351,E01001373
1352,E01001374
1353,E01001375
1354,E01001376
1355,E01001377
1356,E01001379
1357,E01001380
1358,E01001381
1359,E01001382
1360,E01001383
1361,E01001384
1362,E01001385
1363,E01001386
1364,E01001387
1365,E01001388
1366,E01001389
1367,E01001390
1368,E01001391
1369,E01001392
1370,E01001393
1371,E01001394
1372,E01001395
1373,E01001396
1374,E01001397
1375,E01001398
1376,E01001399
1377,E01001400
1378,E01001401
1379,E01001402
1380,E01001403
1381,E01001404
1382,E01001405
1383,E01001406
1384,E01001407
1385,E01001408
1386,E01001409
1387,E01001410
1388,E01001411
1389,E01001412
1390,E01001413
1391,E01001414
1392,E01001415
1393,E01001416
1394,E01001417
1395,E01001418
1396,E01001419
1397,E01001420
1398,E01001421
1399,E01001422
1400,E01001423
1401,E01001424
1402,E01001425
1403,E01001426
1404,E01001427
1405,E01001428
1406,E01001429
1407,E01001430
1408,E01001431
1409,E01001432
1410,E01001433
1411,E01001434
1412,E01001435
1413,E01001436
1414,E01001437
1415,E01001438
1416,E01001439
1417,E01001440
1418,E01001441
1419,E01001442
1420,E01001444
1421,E01001445
1422,E01001446
1423,E01001447
1424,E01001448
1425,E01001449
1426,E01001450
1427,E01001451
1428,E01001452
1429,E01001453
1430,E01001454
1431,E01001455
1432,E01001456
1433,E01001457
1434,E01001458
1435,E01001459
1436,E01001460
1437,E01001461
1438,E01001462
1439,E01001463
1440,E01001464
1441,E01001465
1442,E01001466
1443,E01001467
1444,E01001468
1445,E01001469
1446,E01001470
1447,E01001471
1448,E01001472
1449,E01001473
1450,E01001474
1451,E01001475
1452,E01001476
1453,E01001477
1454,E01001478
1455,E01001479
1456,E01001480
1457,E01001481
1458,E01001482
1459,E01001483
1460,E01001484
1461,E01001485
1462,E01001486
1463,E01001487
1464,E01001488
1465,E01001489
1466,E01001491
1467,E01001492
1468,E01001493
1469,E01001494
1470,E01001495
1471,E01001496
1472,E01001497
1473,E01001498
1474,E01001499
1475,E01001500
1476,E01001501
1477,E01001502
1478,E01001503
1479,E01001504
1480,E01001505
1481,E01001506
1482,E01001507
1483,E01001508
1484,E01001509
1485,E01001510
1486,E01001511
1487,E01001512
1488,E01001513
1489,E01001514
1490,E01001515
1491,E01001516
1492,E01001517
1493,E01001518
1494,E01001519
1495,E01001520
1496,E01001521
1497,E01001522
1498,E01001523
1499,E01001524
1500,E01001525
1501,E01001526
1502,E01001527
1503,E01001528
1504,E01001529
1505,E01001530
1506,E01001531
1507,E01001532
1508,E01001533
1509,E01001534
1510,E01001535
1511,E01001536
1512,E01001537
1513,E01001538
1514,E01001539
1515,E01001540
1516,E01001541
1517,E01001542
1518,E01001543
1519,E01001544
1520,E01001545
1521,E01001546
1522,E01001547
1523,E01001548
1524,E01001549
1525,E01001550
1526,E01001551
1527,E01001552
1528,E01001553
1529,E01001554
1530,E01001555
1531,E01001556
1532,E01001557
1533,E01001558
1534,E01001559
1535,E01001560
1536,E01001562
1537,E01001563
1538,E01001564
1539,E01001565
1540,E01001566
1541,E01001567
1542,E01001568
1543,E01001569
1544,E01001570
1545,E01001571
1546,E01001572
1547,E01001573
1548,E01001574
1549,E01001575
1550,E01001576
1551,E01001577
1552,E01001578
1553,E01001579
1554,E01001580
1555,E01001581
1556,E01001582
1557,E01001583
1558,E01001584
1559,E01001585
1560,E01001586
1561,E01001587
1562,E01001588
1563,E01001589
1564,E01001590
1565,E01001591
1566,E01001592
1567,E01001593
1568,E01001594
1569,E01001595
1570,E01001596
1571,E01001597
1572,E01001598
1573,E01001599
1574,E01001600
1575,E01001601
1576,E01001602
1577,E01001603
1578,E01001604
1579,E01001605
1580,E01001606
1581,E01001607
1582,E01001608
1583,E01001609
1584,E01001610
1585,E01001611
1586,E01001613
1587,E01001614
1588,E01001615
1589,E01001617
1590,E01001618
1591,E01001619
1592,E01001620
1593,E01001621
1594,E01001623
1595,E01001624
1596,E01001625
1597,E01001629
1598,E01001631
1599,E01001632
1600,E01001633
1601,E01001634
1602,E01001635
1603,E01001636
1604,E01001637
1605,E01001638
1606,E01001640
1607,E01001641
1608,E01001642
1609,E01001644
1610,E01001645
1611,E01001646
1612,E01001647
1613,E01001648
1614,E01001649
1615,E01001650
1616,E01001651
1617,E01001652
1618,E01001653
1619,E01001654
1620,E01001655
1621,E01001656
1622,E01001657
1623,E01001658
1624,E01001659
1625,E01001660
1626,E01001661
1627,E01001662
1628,E01001664
1629,E01001665
1630,E01001666
1631,E01001667
1632,E01001668
1633,E01001669
1634,E01001671
1635,E01001672
1636,E01001673
1637,E01001674
1638,E01001675
1639,E01001676
1640,E01001677
1641,E01001678
1642,E01001679
1643,E01001680
1644,E01001681
1645,E01001682
1646,E01001683
1647,E01001684
1648,E01001685
1649,E01001686
1650,E01001687
1651,E01001688
1652,E01001690
1653,E01001692
1654,E01001693
1655,E01001694
1656,E01001695
1657,E01001696
1658,E01001697
1659,E01001698
1660,E01001699
1661,E01001700
1662,E01001701
1663,E01001702
1664,E01001703
1665,E01001704
1666,E01001705
1667,E01001706
1668,E01001708
1669,E01001709
1670,E01001710
1671,E01001711
1672,E01001712
1673,E01001713
1674,E01001714
1675,E01001715
1676,E01001716
