,lsoa,hierarchical8_x,err_x,hierarchical8_y,err_y,same
2858,E01002925,6,2.7401125674601285,6,2.565690858277145,1
2859,E01002926,3,2.0982246051517013,3,1.9753638420735649,1
2860,E01002927,3,1.911297088345335,3,1.7943424556761884,1
2861,E01002928,3,2.904856461127311,3,2.6570225543406045,1
2862,E01002929,3,2.2785304161056463,3,2.5429692049077626,1
2863,E01002930,3,2.2608681040823044,3,1.9605440790689395,1
2864,E01002931,3,2.5063311400547024,3,2.0055024068412766,1
2865,E01002932,3,3.106491887980592,3,3.173532556573057,1
2866,E01002933,3,0.8592992754015208,3,2.0712275109495577,1
2867,E01002934,3,1.2643966365791057,3,0.0,1
2868,E01002935,3,3.1556033465449396,3,3.2757482530730164,1
2869,E01002937,3,2.168136616081074,3,1.8268930634566767,1
2870,E01002938,3,2.2881602507982985,3,2.3672012983521973,1
2871,E01002939,3,2.3718007114427055,3,2.139332009004336,1
2872,E01002940,3,2.5336483458505623,3,2.6457435897229034,1
2873,E01002941,3,2.115833168816459,3,2.207528850666092,1
2874,E01002942,3,2.0555527358776726,3,2.0687507212440317,1
2875,E01002943,3,2.4919799992393594,3,2.400654462374608,1
2876,E01002944,3,2.923785051945369,3,2.8823617815967038,1
2877,E01002945,3,2.264603319209419,3,2.5385232560420703,1
2878,E01002946,3,2.979997461738809,3,3.073505122643767,1
2879,E01002947,3,2.7479936334888566,3,2.882594042143328,1
2880,E01002948,7,1.3353707925871654,7,1.3651579513174985,1
2881,E01002949,3,2.2834782941448974,3,2.2133121915583978,1
2882,E01002950,3,2.4961872915796843,3,2.554868567041915,1
2883,E01002951,3,3.5301148329410945,3,3.4195143614824546,1
2884,E01002952,4,1.664904366047975,4,1.8675359810043681,1
2885,E01002953,4,1.6951010601523389,4,1.70986173645746,1
2886,E01002954,4,3.276964478521363,4,3.334866712893595,1
2887,E01002955,4,1.9238151259851815,4,1.6577076800438488,1
2888,E01002956,3,2.2061412488131933,3,2.169832360151307,1
2889,E01002957,3,3.1901699231998424,4,3.307958673752638,0
2890,E01002958,3,3.082039456449275,3,3.2674398576993853,1
2891,E01002959,3,2.4813367129847483,3,2.4938907882444847,1
2892,E01002960,3,2.355770454455803,3,2.087825154465503,1
2893,E01002961,3,1.8713056639735361,3,1.6243393478641475,1
