,clusters_2011_cleanup_Commercial,clusters_2011_cleanup_Estates,clusters_2011_cleanup_Fences,clusters_2011_cleanup_High-density,clusters_2011_cleanup_Leafy green residential,clusters_2011_cleanup_Low-density,clusters_2011_cleanup_Open green space,clusters_2011_cleanup_Other green,clusters_2011_cleanup_Sheds,clusters_2011_cleanup_Terraced,clusters_2011_cleanup_Vehicles,OA11CD_,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_Fences,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Leafy green residential,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Sheds,clusters_2021_cleanup_Terraced,clusters_2021_cleanup_Vehicles,proportion_Low-density,proportion_Open green space,proportion_Other green,proportion_Vehicles,proportion_Sheds,proportion_Terraced,proportion_Fences,proportion_Leafy green residential,proportion_High-density,proportion_Estates,proportion_Commercial
1542,0,0,1,0,1,5,2,2,1,1,1,E00001594,0,1,1,0,1,4,2,1,2,1,2,-1.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1543,0,1,0,1,1,5,0,1,1,1,0,E00001595,0,1,0,1,2,4,0,2,0,0,2,-1.0,0.0,1.0,2.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0
1544,0,1,1,1,1,2,2,2,1,1,1,E00001596,1,1,1,1,1,1,2,3,1,1,2,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1545,1,1,1,0,1,3,3,1,1,0,1,E00001597,0,2,1,0,2,3,2,2,1,0,2,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.0
1546,0,1,2,0,1,4,2,2,1,0,1,E00001598,0,2,2,0,1,2,2,2,1,0,2,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1547,0,2,1,0,2,2,2,3,1,0,1,E00001599,0,1,0,1,2,1,3,2,2,0,1,-1.0,1.0,-1.0,0.0,1.0,0.0,-1.0,0.0,1.0,-1.0,0.0
1548,0,1,1,0,1,2,6,2,1,0,1,E00001600,0,1,1,0,1,1,5,2,1,0,2,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1549,0,0,1,0,1,6,1,3,1,0,1,E00001601,0,0,1,0,2,6,1,2,2,0,1,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1550,0,0,1,0,1,5,1,2,2,0,1,E00001602,0,1,1,0,2,3,1,3,2,0,1,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1551,0,1,1,0,1,4,2,2,2,1,1,E00001603,0,1,1,0,2,2,2,2,1,1,3,-2.0,0.0,0.0,2.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0
