LSOA11CD,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_Fences,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Leafy green residential,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Sheds,clusters_2021_cleanup_Terraced,clusters_2021_cleanup_Vehicles
E01000345,0,0,0,0,1,1,0,1,1,0,0
E01000346,0,0,0,0,1,1,1,1,0,0,0
E01000347,1,0,0,0,1,1,0,1,1,0,0
E01000348,0,0,0,0,1,1,0,1,1,0,0
E01000349,0,0,0,0,1,1,1,1,1,0,0
E01000350,1,0,0,0,1,1,1,1,1,0,0
E01000351,0,0,0,0,1,1,0,1,1,0,0
E01000352,0,0,0,0,0,0,1,1,0,0,0
E01000353,0,0,0,0,1,1,0,1,0,0,0
E01000354,0,1,0,0,1,1,0,1,1,0,0
E01000355,0,0,0,0,1,1,1,1,0,0,0
E01000356,1,0,0,0,0,1,0,1,0,0,0
E01000357,0,0,0,0,1,1,0,1,0,0,0
E01000358,1,0,0,0,0,1,0,1,1,0,0
E01000359,0,0,0,0,1,1,0,1,1,0,0
E01000360,1,0,0,0,0,0,0,0,0,1,0
E01000361,0,1,0,0,1,1,0,1,1,0,0
E01000362,0,0,0,0,1,1,0,1,0,0,0
E01000363,0,0,0,0,0,1,1,1,0,0,0
E01000364,0,0,0,0,1,0,1,0,0,0,0
E01000365,1,0,0,0,1,1,0,1,1,1,0
E01000366,0,0,0,0,0,1,0,1,0,1,0
E01000367,0,0,0,0,1,1,0,1,1,0,0
E01000368,0,1,0,1,1,1,0,1,1,0,1
E01000369,0,0,0,0,1,1,0,1,1,0,0
E01000370,0,0,0,0,1,1,1,1,1,0,0
E01000371,0,1,0,0,1,1,0,1,0,0,0
E01000372,0,1,0,0,1,1,0,1,1,0,0
E01000373,0,1,0,1,1,1,1,1,1,1,1
E01000374,0,0,0,0,0,0,1,0,0,0,0
E01000375,0,0,0,0,1,1,1,1,1,0,0
E01000376,0,1,0,0,1,1,0,1,1,0,0
E01000377,0,0,0,0,1,1,1,1,1,0,0
E01000378,0,0,0,0,0,0,1,0,0,0,0
E01000379,0,0,0,0,1,1,1,1,1,0,0
E01000380,0,1,0,1,1,1,1,1,1,0,1
E01000381,0,0,0,0,0,0,1,0,0,0,0
E01000382,0,0,0,0,1,1,1,1,0,0,0
E01000383,0,0,0,0,0,0,1,0,0,0,0
E01000384,0,0,0,0,1,1,1,0,0,1,1
E01000385,0,0,0,0,0,0,1,0,0,0,0
E01000386,0,0,0,0,0,0,1,0,0,0,0
E01000387,0,0,0,0,1,1,0,1,0,0,0
E01000388,0,0,0,0,1,1,1,0,0,0,0
E01000389,0,0,0,0,1,1,1,1,0,0,0
E01000390,0,0,0,0,0,1,1,1,0,0,0
E01000391,0,0,0,0,0,1,1,1,0,0,0
E01000392,1,1,0,0,0,1,0,0,0,1,0
E01000393,1,0,1,0,1,1,0,1,0,1,0
E01000394,0,0,0,0,1,1,0,1,1,0,0
E01000395,0,0,0,0,1,1,0,1,1,0,0
E01000396,0,0,0,0,1,1,0,1,1,0,0
E01000398,0,1,0,0,1,1,0,1,1,0,1
E01000399,1,0,0,0,1,1,0,1,0,0,0
E01000400,1,0,0,0,1,1,0,1,1,0,0
E01000401,0,1,0,0,1,1,1,1,1,0,0
E01000402,0,0,0,0,1,1,1,1,1,0,0
E01000403,0,0,0,0,0,0,0,0,0,0,0
E01000404,1,1,0,1,1,0,1,0,0,1,1
E01000405,0,0,0,1,0,0,1,0,1,1,0
E01000406,0,0,0,0,0,0,1,0,0,1,0
E01000407,0,0,0,0,1,1,1,1,1,0,0
E01000408,0,0,0,0,0,0,1,0,0,1,0
E01000409,0,0,0,0,1,1,0,1,0,0,0
E01000410,0,0,0,0,0,1,0,1,0,0,0
E01000411,0,0,0,0,1,1,0,1,1,0,0
E01000412,0,0,0,0,1,1,1,1,0,0,0
E01000413,0,0,0,0,0,1,1,1,0,0,0
E01000414,1,0,0,0,1,1,0,0,0,0,0
E01000415,0,0,0,0,1,1,0,1,1,0,0
E01000416,0,0,0,1,0,1,0,1,1,1,0
E01000417,0,0,0,0,0,0,1,0,0,0,0
E01000418,0,0,0,0,1,1,1,1,1,0,0
E01000419,0,0,0,0,1,1,0,1,0,0,0
E01000420,0,0,0,0,1,1,0,1,1,0,1
E01000421,0,0,0,0,1,1,0,1,0,0,0
E01000422,0,0,1,1,0,0,1,1,1,0,1
E01000423,0,0,0,0,1,1,1,1,0,0,0
E01000424,0,1,1,0,1,1,0,1,0,0,0
E01000425,0,0,0,0,1,1,0,1,1,0,0
E01000426,0,0,0,0,0,1,1,0,1,1,0
E01000427,0,0,0,0,0,1,1,0,0,0,0
E01000428,0,0,0,0,0,0,1,0,0,0,0
E01000429,0,0,0,0,1,1,1,1,1,1,1
E01000430,0,0,0,0,0,0,1,0,0,0,0
E01000431,0,1,1,1,1,1,1,1,1,1,1
E01000432,0,1,0,0,0,1,0,0,0,0,0
E01000433,0,1,0,0,1,1,1,1,1,0,0
E01000434,0,1,0,0,0,1,1,1,1,1,0
E01000435,0,0,0,0,1,1,0,1,1,0,1
E01000436,0,0,0,0,1,1,0,1,0,0,0
E01000437,0,0,0,0,1,1,0,1,1,1,1
E01000438,0,0,0,0,1,1,0,0,1,1,0
E01000439,1,0,0,0,0,1,0,0,0,1,0
E01000440,0,0,0,0,1,1,0,1,1,0,0
E01000441,1,1,0,0,1,1,0,1,1,1,0
E01000442,0,0,0,0,1,1,1,1,1,0,0
E01000443,0,0,0,0,1,1,0,1,1,0,0
