"","LSOA11CD","clusters_2018_cleanup_Commercial","clusters_2018_cleanup_Estates","clusters_2018_cleanup_High.density","clusters_2018_cleanup_Low.density","clusters_2018_cleanup_Open.green.space","clusters_2018_cleanup_Other.green","clusters_2018_cleanup_Terraced","count","lsoa","hierarchical8"
"4239","E01004362",0,0.0338164251207729,0.0241545893719807,0.217391304347826,0.429951690821256,0.14975845410628,0.144927536231884,207,"E01004362",1
"4240","E01004363",0.0101522842639594,0.0355329949238579,0.065989847715736,0.223350253807107,0.192893401015228,0.182741116751269,0.289340101522843,197,"E01004363",6
"4241","E01004364",0.0754716981132075,0.141509433962264,0.113207547169811,0.367924528301887,0,0.0943396226415094,0.207547169811321,106,"E01004364",6
"4242","E01004365",0.282051282051282,0.0256410256410256,0.0512820512820513,0.0427350427350427,0.00854700854700855,0.00854700854700855,0.581196581196581,117,"E01004365",6
"4243","E01004366",0.00505050505050505,0.0252525252525253,0.0404040404040404,0.191919191919192,0.166666666666667,0.106060606060606,0.464646464646465,198,"E01004366",6
"4244","E01004367",0.0254237288135593,0,0.0423728813559322,0.161016949152542,0.0338983050847458,0.0338983050847458,0.703389830508475,118,"E01004367",6
"4245","E01004368",0.0555555555555556,0.0158730158730159,0.0873015873015873,0.285714285714286,0.0238095238095238,0.0238095238095238,0.507936507936508,126,"E01004368",6
"4246","E01004369",0.0784313725490196,0,0.147058823529412,0.117647058823529,0.0196078431372549,0.0294117647058824,0.607843137254902,102,"E01004369",6
"4247","E01004370",0.083969465648855,0.0229007633587786,0.106870229007634,0.114503816793893,0.00763358778625954,0.0152671755725191,0.648854961832061,131,"E01004370",6
"4248","E01004371",0.0512820512820513,0.0170940170940171,0.136752136752137,0.094017094017094,0.00854700854700855,0.0598290598290598,0.632478632478632,117,"E01004371",6
"4249","E01004372",0.0258620689655172,0.0431034482758621,0.0517241379310345,0.0948275862068965,0,0.00862068965517241,0.775862068965517,116,"E01004372",6
"4250","E01004373",0.127450980392157,0.00980392156862745,0.0196078431372549,0.0588235294117647,0,0,0.784313725490196,102,"E01004373",6
"4251","E01004374",0.0434782608695652,0.0072463768115942,0.0579710144927536,0.0507246376811594,0.0652173913043478,0.108695652173913,0.666666666666667,138,"E01004374",6
"4252","E01004375",0.1,0.00714285714285714,0.1,0.121428571428571,0.00714285714285714,0.0142857142857143,0.65,140,"E01004375",6
"4253","E01004376",0.0145985401459854,0.0145985401459854,0.0510948905109489,0.0510948905109489,0.0291970802919708,0.0145985401459854,0.824817518248175,137,"E01004376",6
"4254","E01004377",0.00626304801670146,0.0146137787056367,0.00417536534446764,0.250521920668058,0.473903966597077,0.169102296450939,0.081419624217119,479,"E01004377",1
"4255","E01004378",0.00854700854700855,0.0341880341880342,0.0427350427350427,0.564102564102564,0.00854700854700855,0.0769230769230769,0.264957264957265,117,"E01004378",4
"4256","E01004379",0.0263157894736842,0.0131578947368421,0.157894736842105,0.381578947368421,0.0328947368421053,0.125,0.263157894736842,152,"E01004379",6
"4257","E01004380",0,0.0684931506849315,0.0228310502283105,0.484018264840183,0.228310502283105,0.123287671232877,0.0730593607305936,219,"E01004380",4
"4258","E01004381",0.096045197740113,0.0451977401129944,0.0169491525423729,0.299435028248588,0.0112994350282486,0.0790960451977401,0.451977401129944,177,"E01004381",6
"4259","E01004382",0.0116279069767442,0.22093023255814,0.151162790697674,0.232558139534884,0.0232558139534884,0.0232558139534884,0.337209302325581,86,"E01004382",6
"4260","E01004383",0.0100502512562814,0.0452261306532663,0.0150753768844221,0.628140703517588,0.0251256281407035,0.226130653266332,0.050251256281407,199,"E01004383",4
"4261","E01004384",0.036144578313253,0.257028112449799,0.0522088353413655,0.377510040160643,0.0401606425702811,0.232931726907631,0.00401606425702811,249,"E01004384",1
"4262","E01004385",0,0.0685483870967742,0.0120967741935484,0.528225806451613,0.233870967741935,0.0967741935483871,0.0604838709677419,248,"E01004385",4
"4263","E01004386",0,0.019047619047619,0.0126984126984127,0.596825396825397,0.168253968253968,0.193650793650794,0.00952380952380952,315,"E01004386",4
"4264","E01004387",0,0.0419161676646707,0.0239520958083832,0.694610778443114,0.0479041916167665,0.0598802395209581,0.131736526946108,167,"E01004387",4
"4265","E01004388",0.0337837837837838,0.168918918918919,0.0337837837837838,0.621621621621622,0.0472972972972973,0.0743243243243243,0.0202702702702703,148,"E01004388",4
"4266","E01004389",0,0.217054263565891,0.0271317829457364,0.395348837209302,0.112403100775194,0.244186046511628,0.00387596899224806,258,"E01004389",1
"4267","E01004390",0,0.266917293233083,0.0150375939849624,0.37218045112782,0.0902255639097744,0.255639097744361,0,266,"E01004390",1
"4268","E01004391",0.0273972602739726,0.0684931506849315,0.10958904109589,0.232876712328767,0.0479452054794521,0.0821917808219178,0.431506849315068,146,"E01004391",6
"4269","E01004392",0.10126582278481,0.0126582278481013,0.0759493670886076,0.20253164556962,0.0316455696202532,0.0379746835443038,0.537974683544304,158,"E01004392",6
"4270","E01004393",0,0.12037037037037,0.175925925925926,0.111111111111111,0.0648148148148148,0.037037037037037,0.490740740740741,108,"E01004393",6
"4271","E01004394",0.0194174757281553,0.0194174757281553,0.0776699029126214,0.16504854368932,0.029126213592233,0.0388349514563107,0.650485436893204,103,"E01004394",6
"4272","E01004395",0,0.027906976744186,0.0418604651162791,0.0651162790697674,0.306976744186047,0.0837209302325581,0.474418604651163,215,"E01004395",1
"4273","E01004396",0.143884892086331,0.00719424460431655,0.0863309352517986,0.0287769784172662,0.0143884892086331,0.0143884892086331,0.705035971223022,139,"E01004396",6
