OA11CD,Commercial,Estates,Fences,High-density,Leafy green residential,Low-density,Open green space,Other green,Sheds,Terraced,Vehicles
E00000290,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000291,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0
E00000292,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0
E00000293,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
E00000294,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0
E00000295,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0
E00000296,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0
E00000297,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0
E00000298,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0
E00000299,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
E00000300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000301,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
