,Unnamed: 0_x,matched,p,clusters_2021_cleanup,idx_x,oa_name,OA11CD,LSOA11CD,Unnamed: 0_y,xcoord,ycoord,panoid,lat,lon,month,year,azi,id,idx_y,idx_y,idx_y.1,angle
161,793096_b,1,0.1703823681317851,Open green space,793096,E00020381,E00020381,E01004050,857455,-0.0868693597523457,51.4686095040639,pY3iAyn5lJLL-2bYd4de9w,51.4686160230313,-0.0868696832271633,4,2021,183.179830119864,1DE9FACC-F77F-4969-83E2-45348AA4CC02,793096,793096_b,,b
162,781045_b,10,0.1189337792579466,High-density,781045,E00020381,E00020381,E01004050,844293,-0.0861037520356984,51.46747085954001,BK0wI2P976sRpE5tD22Ovw,51.4674722904768,-0.0860965871937949,9,2020,158.772563327694,2730489E-21BC-4B4B-A68C-4B20F58CEED8,781045,781045_b,,b
168,781096_b,13,0.1783126096120744,Estates,781096,E00020381,E00020381,E01004050,844348,-0.0842711311449699,51.467842059896405,11v6-a1WTfen4_K3RJj-zg,51.4678056979314,-0.0844588563693322,9,2020,151.389540334035,17257A9C-1D0B-4950-BC41-4E456B8F2634,781096,781096_b,,b
169,781027_b,11,0.1008189509022053,Open green space,781027,E00020381,E00020381,E01004050,844274,-0.0859241678157837,51.4681936122024,bM_bVxTsC4cuV68dzPUJnQ,51.468211342737,-0.0858888912077636,9,2020,243.642815184869,9E10C1DE-6CA0-4170-AFC5-D62B539A2036,781027,781027_b,,b
174,781070_b,10,0.0643535883644518,High-density,781070,E00020381,E00020381,E01004050,844322,-0.085498710439812,51.469070046183504,XuCmWutZK9jqU_oQaD5XnQ,51.4690596972856,-0.0855046579283024,8,2020,152.10272896905198,49EE7E2A-DF64-459A-8633-2CCD5302ABAE,781070,781070_b,,b
175,781098_b,13,0.001,Estates,781098,E00020381,E00020381,E01004050,844350,-0.0844478486272078,51.4681838019813,_dnxc5FIhAErGw5ztT4nOw,51.468139982009895,-0.0847110060815989,9,2020,152.21607358779102,E0A6DB2E-04BD-4C69-8016-08897FF68306,781098,781098_b,,b
176,793097_b,6,0.2714880362623234,Other green,793097,E00020381,E00020381,E01004050,857456,-0.0868575377061162,51.46843365302741,QAP8fwCuhwnlX1_L3tS2-g,51.4684374507636,-0.0868653683956571,4,2021,184.10649716558495,1DE9FACC-F77F-4969-83E2-45348AA4CC02,793097,793097_b,,b
177,781109_b,10,0.1859093208382923,High-density,781109,E00020381,E00020381,E01004050,844361,-0.0842744502441402,51.4670958752526,uFIa0JWQNMC2KxCJzZIwtA,51.4671201887883,-0.0842248965122113,9,2020,241.11936688363,E2A59EDD-1A1A-4B4F-B539-F06FD4E04A44,781109,781109_b,,b
178,781105_b,13,0.3218553582528689,Estates,781105,E00020381,E00020381,E01004050,844357,-0.0847166084315763,51.46806150745629,TJflQOabJYavmoCMcy-pyQ,51.4680601943204,-0.084653036208317,9,2020,152.21607358779102,E0A6DB2E-04BD-4C69-8016-08897FF68306,781105,781105_b,,b
179,793030_b,1,0.0028996080627894,Open green space,793030,E00020381,E00020381,E01004050,857382,-0.087287738293793,51.4683432410974,1TI8SSSigayh2aGbJuxCOw,51.4683374405927,-0.0872746357785198,5,2021,247.479434397103,001300EC-148C-4108-8A77-2AF42629606E,793030,793030_b,,b
188,806128_b,13,0.1098221337204116,Estates,806128,E00015593,E00015593,E01003093,871690,-0.121868001105668,51.471059805511295,0sKyGanKBZmVUbTRVWcBog,51.471038629461,-0.1218924761980339,3,2019,240.83597514815105,87A20E71-F52D-4D6B-9C5C-B348E84B23E7,806128,806128_b,,b
189,805931_b,13,0.001,Estates,805931,E00015593,E00015593,E01003093,871477,-0.121055342374896,51.4708894020151,TbX2Lh-FSkmINzoJONFnrA,51.4708897659554,-0.1210567801142109,2,2018,150.154068050313,B5ED62EF-374C-4610-8C79-BDA031C0B22C,805931,805931_b,,b
