,Unnamed: 0.1,clusters,clusters_2021_edited,clusters_2021_cleanup,idx,oa_name_x,OA11CD,LSOA11CD,panoid,lat,lon,oa_name_y
161,753817_d,4,19,,753817,E00171483,E00171483,E01004392,IZu4lwUkIMMazstxuYSX2A,51.5824823800256,-0.0282176529712128,E00171483
162,753822_d,13,3,,753822,E00171483,E00171483,E01004392,1jFkOG7xNP35rrptDNsfvw,51.5830885448002,-0.0295976046690207,E00171483
163,753822_b,13,3,,753822,E00171483,E00171483,E01004392,1jFkOG7xNP35rrptDNsfvw,51.5830885448002,-0.0295976046690207,E00171483
164,753779_d,12,17,,753779,E00171483,E00171483,E01004392,W70u3NVmWSuLT7q_Q4loiw,51.5826183234905,-0.031333558749136,E00171483
165,753779_b,13,3,,753779,E00171483,E00171483,E01004392,W70u3NVmWSuLT7q_Q4loiw,51.5826183234905,-0.031333558749136,E00171483
166,753821_b,13,3,,753821,E00171483,E00171483,E01004392,gUHjmXxGAT2CYE5HRlfWiA,51.5831013753353,-0.0296602756513948,E00171483
167,753821_d,14,6,Green space,753821,E00171483,E00171483,E01004392,gUHjmXxGAT2CYE5HRlfWiA,51.5831013753353,-0.0296602756513948,E00171483
168,753846_d,12,17,,753846,E00171483,E00171483,E01004392,LBWSiEvz6XFt4bnY97bG-Q,51.5833894568123,-0.0286794278313735,E00171483
169,753846_b,0,16,,753846,E00171483,E00171483,E01004392,LBWSiEvz6XFt4bnY97bG-Q,51.5833894568123,-0.0286794278313735,E00171483
170,753791_b,13,3,,753791,E00171483,E00171483,E01004392,9vmaME6qBWvxcmGl_-DG9A,51.5822508606433,-0.0277416844318836,E00171483
171,753791_d,0,16,,753791,E00171483,E00171483,E01004392,9vmaME6qBWvxcmGl_-DG9A,51.5822508606433,-0.0277416844318836,E00171483
172,753834_d,14,6,Green space,753834,E00171483,E00171483,E01004392,_qL2oBAFIa8zBRXcpYMwpg,51.5830628814619,-0.0297997327451751,E00171483
173,753834_b,14,6,Green space,753834,E00171483,E00171483,E01004392,_qL2oBAFIa8zBRXcpYMwpg,51.5830628814619,-0.0297997327451751,E00171483
174,753079_d,18,0,High-density,753079,E00171483,E00171483,E01004392,JYbA5PKviqnG37GlswdWMw,51.5835442085238,-0.0282104686546194,E00171483
175,753079_b,7,10,High-density,753079,E00171483,E00171483,E01004392,JYbA5PKviqnG37GlswdWMw,51.5835442085238,-0.0282104686546194,E00171483
176,753838_b,10,15,Commercial,753838,E00171483,E00171483,E01004392,QpJy1_49g71pCRzEyL5_cg,51.5828629323855,-0.0279535052980355,E00171483
