,OA code,price,"Price (central estimate, natural log scale)",oa,Unnamed: 0
2386,E00002477,442823.8572153533,13.0009273564487,E00002477,5.624102398753166
2387,E00002478,544027.7627258579,13.2067555589584,E00002478,5.865747322638829
2388,E00002479,463917.66943534167,13.0474623789029,E00002479,5.722015595436096
2389,E00002480,370153.0394523264,12.8216718192446,E00002480,5.398595528169111
2390,E00002481,487133.645866954,13.0962937912481,E00002481,5.642948905626933
2391,E00002482,366741.0872440927,12.812411393717,E00002482,5.674665516073054
2392,E00002484,314171.7937025048,12.6576952289805,E00002484,5.37095206492656
2393,E00002485,282085.89543310174,12.5499668972754,E00002485,5.347488605059111
2394,E00002486,295893.49603493186,12.597754857866,E00002486,5.484072834253311
2395,E00002487,288615.2136408314,12.5728496392507,E00002487,5.044871020775575
2396,E00002488,266082.56119297125,12.4915619200305,E00002488,5.428264889866114
2397,E00002489,298796.0147217576,12.6075163945406,E00002489,5.604422930748232
2398,E00002490,281284.8849743892,12.5471232602735,E00002490,5.529952513544183
2399,E00002491,295108.6118658167,12.5950987433782,E00002491,5.013449248400602
2400,E00002492,293545.24924648687,12.5897870775647,E00002492,5.288706537924315
2401,E00002493,299285.53905102843,12.6091533767732,E00002493,5.840902444294521
2402,E00002494,320324.9534986545,12.6770912392085,E00002494,6.128690114388099
2403,E00002495,280797.1336396815,12.5453877432458,E00002495,5.308847013641806
2404,E00002496,257245.86010911432,12.4577875606965,E00002496,5.618558968816485
2405,E00002497,274848.8287132502,12.5239765117307,E00002497,5.708139141400655
2406,E00002498,283211.39086954517,12.5539488619898,E00002498,5.576043156060305
2407,E00002499,271629.10953870806,12.5121928469011,E00002499,5.567609704774002
2408,E00002500,265179.0341260088,12.4881604773286,E00002500,5.804760560393333
2409,E00002501,276610.6639130291,12.5303662510236,E00002501,5.50634428024292
2410,E00002502,264621.5717606722,12.4860560532684,E00002502,5.619505224404512
2411,E00002503,253711.95477965858,12.4439548661944,E00002503,5.172155491236983
2412,E00002504,254302.16584458225,12.4462784682618,E00002504,5.586937631879534
2413,E00002505,296422.4567738498,12.599540934628,E00002505,5.5840585480133695
2414,E00002506,283161.9929165912,12.5537744259923,E00002506,5.462268953973597
2415,E00002507,323359.03024285845,12.6865185336314,E00002507,5.576125533957231
2416,E00002508,272861.1174991453,12.5167182176122,E00002508,5.516425790208759
2417,E00002509,305008.64545755804,12.6280954009503,E00002509,5.282718044646243
2418,E00002510,282031.7295959891,12.5497748598886,E00002510,5.482294635339216
2419,E00002511,289502.00920370594,12.5759175162257,E00002511,5.456124205338328
2420,E00002512,232775.54597083433,12.3578299462414,E00002512,5.539779417655048
2421,E00002513,254874.37977868863,12.4485260744405,E00002513,5.532227993011475
2422,E00002514,263345.40085366747,12.4812217607517,E00002514,5.254089916574544
2423,E00002515,338685.03323402995,12.7328258489722,E00002515,5.666499625552785
2424,E00002516,317304.0101289016,12.6676156157798,E00002516,5.756839417275929
2425,E00002517,277530.0640905724,12.5336845453655,E00002517,5.672289535403252
2426,E00002518,319550.7728056946,12.6746714534942,E00002518,5.522653149346174
2427,E00002519,261265.96713016377,12.4732941985951,E00002519,5.490532420716196
2428,E00002520,249794.10686110274,12.4283922849666,E00002520,5.2765075239268215
2429,E00002521,276605.0000865527,12.5303457750073,E00002521,5.592595967379483
2430,E00002522,248500.7514127969,12.4232011483082,E00002522,5.4590024477998975
2431,E00002523,363665.5236900598,12.8039898332184,E00002523,5.37535585211469
2432,E00002524,282805.41866406205,12.552514373585,E00002524,5.668903799617992
2433,E00002525,297564.508759457,12.6033863166285,E00002525,5.451051582308376
2434,E00002526,253775.5423449003,12.4442054637596,E00002526,5.2612388415770095
2435,E00002527,276499.67012778163,12.5299649069159,E00002527,5.343809016915255
2436,E00002528,294919.1003066273,12.5944563614636,E00002528,5.3995868648801535
2437,E00002529,257543.35895792412,12.4589433692135,E00002529,5.309769123792648
2438,E00002530,283246.31710463663,12.5540721765273,E00002530,5.503118845549497
2439,E00002531,254745.49041140158,12.4480202489122,E00002531,5.289738481695002
2440,E00002532,387314.48463048495,12.8669922637978,E00002532,5.481012007168361
2441,E00002533,319819.7923815159,12.6755129673403,E00002533,5.8652073903517286
2442,E00002534,305785.21070383536,12.6306382086648,E00002534,5.6404483517011
2443,E00002535,298897.88482688967,12.6078572717227,E00002535,5.100874861081441
2444,E00002536,288877.8948249914,12.5737593685563,E00002536,5.188391208648682
2445,E00002537,354017.2208317196,12.77710083735,E00002537,5.3142729043960575
2446,E00002538,345911.7152518109,12.7539388632497,E00002538,5.683368482087788
