,Unnamed: 0,X,LSOA.code..2011.,Income.Score..rate.,lsoa,Unnamed..0,resid,res_dec,Outdoors.Sub.domain.Score,outdoor_resid,Education..Skills.and.Training.Score,wealth_resid,education_resid
185,186,185,E01000190,0.091,E01000190,5.70676632852931,0.0763103685742948,6,0.462,-0.0929838230664292,5.319,0.0763103685742948,-0.083313040824068
186,187,186,E01000191,0.055,E01000191,5.63483989432051,-0.0448522159394258,3,0.931,0.0791155657559205,1.76,-0.0448522159394258,0.0659356200038881
187,188,187,E01000192,0.105,E01000192,5.62897875628521,0.0176701881154416,5,0.789,-0.101680598686249,6.778,0.0176701881154416,0.0969409282358373
188,189,188,E01000193,0.09,E01000193,5.64850010975547,0.0166764789586579,5,0.759,-0.0272132200019855,7.965,0.0166764789586579,0.0841235872142946
189,190,189,E01000194,0.114,E01000194,5.51083714949588,-0.0881623810976518,3,0.987,-0.049950071692218,5.706,-0.0881623810976518,0.106959391665349
190,191,190,E01000195,0.177,E01000195,5.17141398617892,-0.341422281380992,0,0.778,0.466359372917758,23.459,-0.341422281380992,0.101412631092227
192,193,192,E01000197,0.086,E01000197,5.68076353877254,0.0434692246085069,6,1.057,-0.0626764804356566,1.749,0.0434692246085069,0.018734249442922
193,194,193,E01000198,0.087,E01000198,5.64468540896972,0.0087587656474932,5,0.944,0.148951933203134,2.096,0.0087587656474932,0.172597729736559
194,195,194,E01000199,0.056,E01000199,5.65725828731916,-0.0210661520989744,4,0.784,-0.0316547860471156,1.162,-0.0210661520989744,-0.0113738137670876
195,196,195,E01000200,0.081,E01000200,5.76970316560901,0.125570497235961,7,0.979,0.0144426275920958,1.098,0.125570497235961,-0.0376807771498458
196,197,196,E01000201,0.041,E01000201,5.81581610081525,0.116976598770057,7,1.497,0.081718627112828,0.774,0.116976598770057,-0.0637794313542807
197,198,197,E01000202,0.053,E01000202,5.91725099717869,0.234823545235147,9,0.947,-0.100430556792393,1.508,0.234823545235147,-0.0583324815842021
199,200,199,E01000204,0.068,E01000204,5.8245433477255,0.162630958409007,8,1.243,-0.01252968526261,3.121,0.162630958409007,0.0157409306713765
200,201,200,E01000205,0.053,E01000205,5.96273597649166,0.280308524548109,9,1.036,0.0130745356552069,1.073,0.280308524548109,-0.271065387619435
201,202,201,E01000206,0.013,E01000206,5.77689395303683,0.0397596674211467,5,1.049,0.0650551380733562,1.793,0.0397596674211467,-0.240344420945895
203,204,203,E01000208,0.028,E01000208,5.93892370299859,0.222304480009959,8,1.336,0.19632643775352,1.282,0.222304480009959,-0.080117847548944
204,205,204,E01000209,0.048,E01000209,6.03236910815914,0.343103302006579,9,0.976,-0.0571634871769672,0.414,0.343103302006579,-0.238183079839206
205,206,205,E01000210,0.058,E01000210,5.71020577539263,0.0346166776581055,5,1.388,0.209161129936037,0.518,0.0346166776581055,-0.249407718741825
206,207,206,E01000211,0.112,E01000211,5.58037646181548,-0.0213584104616604,4,1.222,-0.0073312472474584,3.225,-0.0213584104616604,0.136517631133646
207,208,207,E01000212,0.063,E01000212,5.89541947334371,0.226668729818195,9,0.804,-0.0430271147061469,0.467,0.226668729818195,-0.199589150648526
208,209,208,E01000213,0.028,E01000213,6.1107223033905,0.394103080401868,9,0.858,-0.0427993479558648,1.321,0.394103080401868,-0.26718659627649
210,211,210,E01000215,0.103,E01000215,5.54627783566911,-0.0677660741842635,3,1.029,-0.052821372388719,6.101,-0.0677660741842635,0.0960304491442035
211,212,211,E01000216,0.071,E01000216,5.78536922673145,0.127559849940366,7,1.138,-0.141371525152903,2.247,0.127559849940366,-0.0398485042512859
212,213,212,E01000217,0.066,E01000217,5.79422329234428,0.129575561344181,7,1.009,-0.0343752805076998,9.331,0.129575561344181,-0.015935155948818
214,215,214,E01000219,0.097,E01000219,5.43592081129926,-0.186329123604933,1,1.85,0.280343595236747,14.667,-0.186329123604933,0.179149560071655
216,217,216,E01000221,0.28,E01000221,5.12619221241204,-0.245773958442109,0,1.976,0.631006613281387,23.471,-0.245773958442109,0.335620295030116
217,218,217,E01000222,0.163,E01000222,5.57019392586259,0.0382102665174307,5,1.553,0.188583754899821,12.267,0.0382102665174307,0.111390721301235
218,219,218,E01000223,0.225,E01000223,5.26070225553693,-0.186485811616415,1,1.526,0.384841358204612,21.168,-0.186485811616415,0.170870079796278
219,220,219,E01000224,0.152,E01000224,5.66770435180237,0.120676313197373,7,0.946,-0.152021166868071,14.005,0.120676313197373,-0.0212652646559783
220,221,220,E01000225,0.066,E01000225,5.63787659889535,-0.0267711321047505,4,1.283,0.149333699118844,6.55,-0.0267711321047505,0.168846696630168
222,223,222,E01000227,0.082,E01000227,5.61397916448527,-0.0287858330459708,4,0.743,-0.0701318922810662,4.644,-0.0287858330459708,0.21593398264613
226,227,226,E01000231,0.103,E01000231,5.41947928970935,-0.194564620144017,1,1.039,0.346489810729019,4.325,-0.194564620144017,0.363074334279732
227,228,227,E01000232,0.114,E01000232,5.53138741742481,-0.0676121131687229,3,1.009,0.215685679097728,5.022,-0.0676121131687229,0.212292714996425
230,231,230,E01000235,0.164,E01000235,5.35192226148346,-0.178693727019895,1,1.16,0.206415516523619,18.521,-0.178693727019895,-0.09583241634707
